t,T4,T3,TSH,Bcells,Plasma,CD4,Cytokine,FTS,Ab
509.6465027980812,0.19542794442057912,0.004558176802303823,,86.72764410925566,26.95006588316056,,,2.26651891146828,
515.3617802886679,0.18474148419035305,0.003970708697627167,4.99692747832518,93.57818211606002,,310.18941938758036,,,7.798779267173088e8
523.5538994536911,0.19197225333329376,,,90.91641182312505,,307.58864331543526,,3.577153107850943,7.807756670976048e8
528.5919342268927,0.2078004636799423,0.00483803138462621,4.237301376040691,101.33705927161202,23.77781558536397,343.639862414824,9.004982883179926e9,,7.728768929518564e8
534.4270463886705,,0.0045704680564402425,2.933464420794454,,24.61099307628578,283.36787193180265,,,
539.8426118182102,0.20011627585996627,0.004327820367256747,,92.68895202766419,,318.40796709983516,,3.207237346707087,7.356718032023276e8
548.2553941024959,0.19979022116229284,,,96.19223327825286,,,8.151134406513137e9,,
553.2547402015285,,,,,,323.7981641859114,8.594668654038206e9,,6.85492228913706e8
559.7526009611454,0.2066858577261,0.0041610977827226,3.1411151576342076,93.92131244336092,25.929878931248062,325.38502256251775,8.12142278337674e9,,7.995055920452446e8
565.2065206497612,0.18570841655197579,,6.089032595242773,,24.7335396243984,292.11108637820865,8.127757996989651e9,3.345003808351591,7.329108342786541e8
573.9423729475812,0.19562758010088824,0.004511342381517486,,90.46673953567924,23.51625678388135,290.1460737745235,,3.278899579596977,
577.3454586777249,0.19194208272525523,0.004505434841139156,,93.84154636429096,23.05890309286076,294.09649123022865,8.589356444040089e9,2.730466079103291,
583.4582875972613,,0.0046961725632276505,3.1457458175916253,,24.21436481753185,,8.558179053181036e9,2.140622246082258,7.751459342624136e8
588.8288398413761,0.18757405806246855,,6.1363394776827604,,,293.96080758579126,,3.1368142683056432,
597.466683307298,,0.004980653048751248,5.850906718785529,91.38814915839515,22.41736980266443,,,,
602.8985817929039,,0.004676054103711596,3.113255249467948,,25.963088427574192,315.9304324121267,8.182686851349637e9,2.480818551414427,7.871404592058408e8
609.441250350481,0.1824912419940101,0.004698599804486441,4.394095291868183,95.76444505706411,,,8.73028442360916e9,2.7657350804643115,8.368971076021854e8
615.5502894315222,0.20060097029571228,0.0046014936558042285,7.884288405048672,,,314.9218372411177,,,7.676841858600258e8
623.980795839157,0.19300374311201915,,4.798635329095879,99.19304578634618,23.86863079720272,312.45699509683203,,2.928968903969704,7.497354660349605e8
625.8687817699677,0.1963822672466512,0.004811831888190095,,,23.87576411828123,,,,
632.1701258451938,0.18825789233422316,0.0044877687359841855,,,24.91160713385677,332.7367681060058,,,
637.6543844565407,,,,97.78522424897952,23.89332487799919,281.8639549610937,8.382777711859341e9,3.3750502237284103,7.217520348427149e8
646.4842513349464,0.19497475653777513,0.004686796725717809,5.658792016040852,94.27881751038417,,298.98860782057506,,3.243504771194911,
650.7244529473512,,,3.7471822121968668,,23.298763866049487,292.1321039313004,,,
657.3313392188577,,,4.020608915677664,,25.035454122489035,,8.38252702474917e9,,7.977772247818409e8
663.3788566134948,,,,98.38944196383781,23.445817264425695,,,3.5428120929412934,
671.920434225591,,,4.798726392028264,100.71218222913419,24.719926228598638,322.71429512860647,,2.7279217208061506,
674.8754945225788,0.19777766621201529,,3.499742228281423,,23.269159906422274,,,2.351446225227407,
681.2031396672293,,0.004580305508204241,3.7617785339699803,103.22326056617239,,294.84772885605145,8.502498081742052e9,,
687.0837574712667,0.19421752404311934,0.004317646375294991,7.2729003645602734,,22.981337593703667,298.0910738608285,8.514934062041817e9,3.429319180129744,
695.7246764459148,,,,96.84493552401345,,,8.698565946562687e9,2.8572021502654676,8.099493573193312e8
700.4773253918491,0.18891203560037753,,,,24.33360163794035,,7.999107806047731e9,,7.837630714976012e8
706.6136189920778,0.19269453974897902,0.004833961588651235,,100.16116095747871,,331.97803981732943,8.520107424692343e9,,
714.1532199317638,0.19511857928124818,,7.69957105362434,,,292.3960542032061,,3.5585809154150674,7.529562325611488e8
